                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                 1.8199,                  1.471,                 2.3375,                0.78535,                0.68919,                0.78995,                0.39687,                 1.8957,                 1.6785,                 2.5204,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.7076,                 1.4648,                 2.2357,                0.75291,                0.49421,                0.60958,                0.31495,                 1.7442,                 1.9469,                  2.429,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.9642,                 1.5961,                  2.379,                0.71884,                0.47297,                   0.56,                0.28968,                 1.7034,                 2.0164,                 2.4093,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.8887,                 1.5014,                 2.3441,                0.72164,                    0.5,                0.60245,                0.30248,                 1.7317,                 1.9397,                 2.4337,               0.000713,               0.000713,               0.000713
                     67,                 1.7727,                 1.4378,                 2.2509,                0.76522,                0.66216,                0.77197,                0.36575,                 1.7973,                 1.7795,                 2.4664,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.6734,                 1.4492,                 2.2206,                0.77069,                0.75676,                0.82962,                0.44361,                 1.7701,                 1.5728,                   2.46,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.7571,                 1.4884,                  2.295,                0.82168,                0.67568,                0.83478,                 0.4515,                 1.6933,                 1.5337,                 2.4116,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.7417,                 1.4871,                 2.2274,                0.87933,                0.68919,                0.84384,                0.47153,                  1.575,                 1.4145,                 2.3093,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.8515,                 1.4385,                 2.3458,                0.88652,                0.71622,                0.86012,                0.49795,                 1.5547,                 1.4121,                 2.2861,               0.000614,               0.000614,               0.000614
                     72,                  1.833,                 1.5146,                 2.3169,                0.92046,                 0.7819,                0.90044,                0.52102,                 1.5093,                  1.381,                  2.226,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.7859,                 1.4933,                 2.2605,                0.87249,                 0.7973,                0.91636,                0.53359,                 1.5386,                 1.3216,                 2.2265,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.6827,                  1.417,                  2.152,                0.89294,                0.78378,                0.92723,                0.52432,                 1.5934,                   1.31,                 2.2657,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.7758,                 1.4555,                 2.1648,                0.87044,                0.81712,                0.92307,                0.51967,                 1.6064,                  1.293,                 2.2753,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.8424,                 1.4413,                 2.2978,                0.92661,                0.85317,                0.95687,                0.59627,                 1.4178,                 1.2365,                 2.1327,               0.000515,               0.000515,               0.000515
                     77,                 1.7171,                 1.3659,                  2.177,                0.96965,                0.86339,                0.96264,                0.61095,                 1.3711,                 1.2118,                 2.1065,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.8293,                 1.4242,                 2.2395,                0.96882,                0.83972,                 0.9639,                0.59795,                  1.386,                 1.1828,                 2.1215,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.7399,                 1.4984,                 2.3456,                0.94707,                0.83784,                0.95622,                0.60328,                 1.3944,                 1.1949,                 2.1365,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.8039,                  1.363,                 2.2601,                0.83213,                0.80389,                0.90341,                0.54481,                 1.4766,                 1.3281,                 2.2047,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.7034,                 1.3619,                 2.1801,                0.88404,                0.82417,                0.91025,                0.56921,                 1.4642,                 1.3142,                 2.1926,               0.000416,               0.000416,               0.000416
                     82,                 1.6359,                 1.3042,                 2.0738,                0.89762,                0.82944,                0.92448,                0.56318,                 1.4784,                 1.2801,                 2.1925,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.6927,                 1.4469,                 2.2339,                0.89946,                0.86486,                0.94037,                0.57212,                 1.4746,                 1.2394,                 2.1843,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.7421,                 1.4868,                 2.2342,                0.96825,                0.82417,                 0.9528,                 0.5999,                 1.3949,                 1.1766,                 2.1171,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.7221,                 1.3764,                 2.1763,                0.97803,                0.82432,                0.95427,                0.60867,                 1.3787,                  1.184,                 2.1076,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.7181,                  1.295,                 2.1273,                0.98459,                0.81081,                0.94667,                0.60598,                 1.3932,                 1.2113,                 2.1294,               0.000317,               0.000317,               0.000317
                     87,                 1.6268,                 1.2414,                 2.1363,                      1,                0.83759,                0.94688,                0.61442,                 1.3885,                 1.2197,                 2.1255,              0.0002972,              0.0002972,              0.0002972
                     88,                  1.675,                 1.4041,                 2.1848,                0.96878,                0.83873,                0.95603,                0.61129,                 1.4071,                 1.2191,                 2.0983,              0.0002774,              0.0002774,              0.0002774
                     89,                  1.597,                 1.2532,                 2.0066,                0.95264,                0.81551,                 0.9536,                0.61341,                 1.4177,                  1.289,                 2.1012,              0.0002576,              0.0002576,              0.0002576
                     90,                  1.585,                 1.2493,                 2.0358,                0.90511,                0.85135,                0.94976,                0.61111,                  1.409,                 1.3134,                 2.0894,              0.0002378,              0.0002378,              0.0002378
                     91,                  1.567,                 1.5098,                 2.1603,                0.91395,                0.86122,                0.94711,                0.60868,                 1.3793,                 1.2886,                 2.0625,               0.000218,               0.000218,               0.000218
                     92,                 1.4716,                 1.3495,                 2.0859,                0.92601,                0.84565,                0.94467,                0.61994,                 1.3161,                 1.2095,                  2.005,              0.0001982,              0.0001982,              0.0001982
                     93,                  1.445,                 1.3001,                 2.0274,                0.92022,                0.83784,                0.94706,                0.62813,                  1.306,                 1.1609,                 1.9883,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.4095,                 1.2913,                 2.0432,                0.92943,                0.83784,                0.95003,                0.63254,                 1.3131,                 1.1505,                  1.989,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.4656,                 1.2463,                 2.0138,                0.93678,                0.83784,                0.95506,                0.63055,                 1.3285,                 1.1534,                 2.0007,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.4208,                 1.2488,                 1.9941,                0.91631,                 0.8878,                0.96192,                0.63679,                  1.312,                 1.1586,                 2.0137,               0.000119,               0.000119,               0.000119
                     97,                 1.4378,                 1.2777,                 2.0786,                0.91592,                0.88331,                  0.964,                0.64423,                 1.3101,                 1.1562,                 2.0187,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.4356,                 1.1972,                 2.0732,                0.89248,                0.91892,                0.96607,                0.64702,                 1.3085,                 1.1487,                 2.0246,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.4324,                 1.2057,                 2.0595,                0.88292,                0.93243,                0.96661,                0.65339,                 1.3013,                 1.1311,                 2.0177,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.3993,                 1.2056,                 2.0381,                0.87198,                0.92043,                0.96602,                0.65922,                 1.2924,                 1.0998,                 2.0062,               3.98e-05,               3.98e-05,               3.98e-05
